ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-27 16:00:00,2054,17,31,402,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 08:00:00,708,9,28,54,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 18:00:00,1543,19,27,250,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 09:00:00,1363,10,25,98,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 11:00:00,484,12,24,619,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-24 13:00:00,2361,14,33,351,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-16 19:00:00,1553,20,44,326,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-27 19:00:00,1270,20,20,226,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 20:00:00,965,21,14,195,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 21:00:00,654,22,8,154,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 22:00:00,476,23,8,125,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 07:00:00,435,8,4,52,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 06:00:00,248,7,3,23,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 23:00:00,288,0,2,62,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 02:00:00,108,3,2,21,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 00:00:00,355,1,1,87,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 01:00:00,239,2,0,41,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 04:00:00,78,5,0,8,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 05:00:00,70,6,0,21,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-27 03:00:00,62,4,0,11,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-28 09:00:00,1541,10,80,728,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 17:00:00,2409,18,65,337,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 16:00:00,2777,17,58,351,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 15:00:00,2125,16,44,1192,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 08:00:00,1848,9,43,826,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 13:00:00,1908,14,34,1203,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 10:00:00,1697,11,31,1280,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 18:00:00,1780,19,30,237,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 14:00:00,1764,15,27,954,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 19:00:00,1364,20,25,232,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 11:00:00,1845,12,24,1315,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 12:00:00,1871,13,21,1411,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 07:00:00,1156,8,18,346,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 20:00:00,1034,21,12,148,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-28 06:00:00,555,7,5,43,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 09:00:00,1815,10,49,794,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-24 19:00:00,1411,20,15,275,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 07:00:00,1226,8,37,516,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 08:00:00,2902,9,43,210,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 06:00:00,402,7,13,179,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 18:00:00,1779,19,30,300,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 09:00:00,2144,10,41,203,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 20:00:00,1075,21,11,195,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 19:00:00,1886,20,28,143,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 07:00:00,1867,8,39,106,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 21:00:00,810,22,11,192,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 22:00:00,338,23,20,139,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 14:00:00,432,15,38,2584,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 22:00:00,470,23,7,128,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 20:00:00,1192,21,18,133,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 12:00:00,330,13,29,2483,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 23:00:00,281,0,2,102,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 21:00:00,762,22,12,108,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 15:00:00,694,16,25,2030,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 00:00:00,133,1,2,21,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 06:00:00,441,7,7,215,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 13:00:00,385,14,22,2911,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 03:00:00,95,4,1,13,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 23:00:00,215,0,4,55,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 10:00:00,1231,11,17,856,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 05:00:00,189,6,0,36,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-22 02:00:00,73,3,3,13,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-16 20:00:00,1223,21,14,200,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-24 01:00:00,86,2,0,29,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 04:00:00,66,5,0,8,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 02:00:00,60,3,0,10,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-25 12:00:00,2535,13,68,423,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 08:00:00,2371,9,54,191,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 17:00:00,2542,18,53,439,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 09:00:00,2141,10,45,227,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 11:00:00,2253,12,43,337,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 14:00:00,2610,15,39,459,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 07:00:00,1568,8,39,86,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 10:00:00,2217,11,38,367,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 15:00:00,2785,16,37,457,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 16:00:00,2739,17,37,467,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 13:00:00,2430,14,35,463,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 18:00:00,2128,19,31,269,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 20:00:00,1033,21,19,245,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 19:00:00,1404,20,16,313,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 21:00:00,741,22,14,242,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 06:00:00,625,7,10,44,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 23:00:00,297,0,5,131,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 00:00:00,149,1,5,50,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 22:00:00,639,23,3,150,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 04:00:00,101,5,1,1,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 01:00:00,79,2,1,10,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 05:00:00,243,6,0,22,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 03:00:00,77,4,0,4,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 02:00:00,68,3,0,0,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-26 11:00:00,2298,12,82,552,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 12:00:00,2478,13,63,720,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 10:00:00,2259,11,63,505,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 13:00:00,2423,14,60,628,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 09:00:00,1587,10,56,252,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 14:00:00,2318,15,52,603,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 08:00:00,1017,9,24,108,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 15:00:00,1896,16,21,305,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 16:00:00,1742,17,16,206,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 07:00:00,612,8,11,43,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 21:00:00,834,22,10,228,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 19:00:00,649,20,9,156,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 23:00:00,474,0,9,109,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-20 17:00:00,2343,18,58,252,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-16 06:00:00,685,7,14,63,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 11:00:00,324,12,13,1859,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 21:00:00,962,22,8,199,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 22:00:00,514,23,6,142,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 23:00:00,302,0,4,78,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 05:00:00,232,6,1,37,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 00:00:00,161,1,1,26,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 04:00:00,99,5,1,4,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 01:00:00,77,2,0,14,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 02:00:00,68,3,0,3,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 03:00:00,64,4,0,6,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-17 17:00:00,2887,18,80,428,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 13:00:00,1983,14,75,1420,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 14:00:00,2187,15,58,1415,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 16:00:00,2845,17,47,1044,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 12:00:00,2237,13,44,1563,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 22:00:00,623,23,42,384,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 18:00:00,2313,19,39,332,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 15:00:00,2093,16,38,1232,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 21:00:00,942,22,36,385,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 08:00:00,2013,9,31,1140,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 19:00:00,1492,20,28,201,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 10:00:00,1825,11,25,1370,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 11:00:00,2078,12,23,1361,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 09:00:00,1908,10,23,1037,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 20:00:00,1110,21,22,572,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 07:00:00,1236,8,14,544,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 06:00:00,630,7,10,75,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 23:00:00,311,0,2,78,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 05:00:00,239,6,2,15,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 04:00:00,91,5,2,16,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 00:00:00,169,1,1,30,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 03:00:00,48,4,1,3,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 01:00:00,80,2,0,15,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 02:00:00,61,3,0,1,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-18 17:00:00,1681,18,95,382,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 08:00:00,2170,9,79,227,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 18:00:00,1801,19,79,227,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 16:00:00,1893,17,51,501,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 09:00:00,1468,10,46,277,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-22 01:00:00,81,2,2,33,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-20 11:00:00,2605,12,47,385,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 18:00:00,2268,19,30,238,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 19:00:00,1869,20,18,133,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 20:00:00,1182,21,18,226,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 08:00:00,591,9,18,136,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 21:00:00,762,22,10,184,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 22:00:00,483,23,8,118,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 07:00:00,311,8,6,35,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 23:00:00,314,0,3,60,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 00:00:00,132,1,2,15,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 06:00:00,194,7,1,15,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 01:00:00,158,2,1,44,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 02:00:00,105,3,1,7,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 05:00:00,110,6,0,8,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 03:00:00,60,4,0,6,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-20 04:00:00,33,5,0,4,0,21.5,14.0,0.0,0,0,0,1,0,0,0,1,0
2023-08-21 17:00:00,1773,18,60,159,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 19:00:00,1658,20,56,88,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 18:00:00,2208,19,51,135,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 16:00:00,2329,17,47,215,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 11:00:00,2597,12,46,172,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 10:00:00,2520,11,41,133,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 09:00:00,2784,10,39,89,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 21:00:00,703,22,27,181,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 15:00:00,1932,16,26,648,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 08:00:00,3720,9,23,53,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 12:00:00,2301,13,20,154,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 22:00:00,454,23,19,184,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 07:00:00,2565,8,18,39,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 20:00:00,1087,21,17,98,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 14:00:00,1690,15,11,649,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 06:00:00,263,7,8,36,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 13:00:00,2007,14,7,340,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 23:00:00,235,0,7,81,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 05:00:00,129,6,2,44,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 00:00:00,176,1,1,34,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 04:00:00,55,5,1,6,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 02:00:00,48,3,1,2,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
2023-08-21 01:00:00,106,2,0,4,0,21.4,14.3,0.6,0,1,0,0,0,0,0,1,0
